feature,importance,rank
android.intent.action.PACKAGE_RESTARTED,0.00015703313711362715,184
BIND_APPWIDGET,0.00015489704003031858,185
android.intent.action.CALL,0.00015266363563274984,186
INSTALL_LOCATION_PROVIDER,0.00012375251612327013,187
READ_USER_DICTIONARY,0.00010455462608999966,188
UPDATE_DEVICE_STATS,0.00010047962648644509,189
SET_TIME_ZONE,9.369813296982925e-05,190
DUMP,7.987413326749941e-05,191
REORDER_TASKS,7.87354726347841e-05,192
READ_FRAME_BUFFER,7.835751099420845e-05,193
SET_TIME,7.775774698295109e-05,194
INTERNAL_SYSTEM_WINDOW,7.450176755694229e-05,195
android.intent.action.CALL_BUTTON,6.80912406922219e-05,196
android.intent.action.BATTERY_LOW,6.203247509634835e-05,197
WRITE_USER_DICTIONARY,5.864578998446011e-05,198
android.intent.action.BATTERY_OKAY,5.79437580350789e-05,199
SUBSCRIBED_FEEDS_WRITE,4.429984523239631e-05,200
SET_PROCESS_LIMIT,4.253937286056002e-05,201
MOUNT_FORMAT_FILESYSTEMS,4.25259886306585e-05,202
BIND_ACCESSIBILITY_SERVICE,3.928431171360985e-05,203
SET_ACTIVITY_WATCHER,3.7625489296661707e-05,204
READ_SOCIAL_STREAM,3.492568362219213e-05,205
ADD_VOICEMAIL,3.3460456404124124e-05,206
WRITE_PROFILE,3.106937173309862e-05,207
intent.action.RUN,2.7213075508948193e-05,208
Context.bindService,2.4160354022593487e-05,209
Process.start,1.905129120605057e-05,210
MessengerService,1.6752218348203533e-05,211
Runtime.loadLibrary,5.655898754047695e-06,212
WRITE_SOCIAL_STREAM,3.8777240331773784e-06,213
BIND_VPN_SERVICE,2.5754660130933316e-06,214
BIND_TEXT_SERVICE,2.1282768837822456e-06,215
